Runner,Date,Time,Notes
"AS 2:LEH to 2:LEH - Bib8","9/23/22","9:27 am","DNF Manual override Seq:8 -m"
"AS 2:LEH to 2:LEH - Bib351","9/23/22","12:03 pm","DNF DNF Manual override Seq:315 -m"
"AS 2:LEH to 2:LEH - Bib214","9/23/22","12:27 pm","DNF Missing? Seq:289  Manual Override -m"
"AS 2:LEH to 2:LEH - Bib347","9/23/22","12:50 pm","DNF Seq:296"
"AS 4:RHF to 4:RHF - Bib93","9/23/22","1:33 pm","DNF Seq:37 Manual Override -m"
"AS 3:URH to 3:URH - Bib190","9/23/22","1:42 pm","DNF Seq:233 Manual Override -m"
"AS 3:URH to 3:URH - Bib172","9/23/22","2:24 pm","DNF Seq:285 Manual Override -m"
"AS 5:TEF to 5:TEF - Bib41","9/23/22","2:46 pm","DNF  Seq:17"
"AS 3:URH to 3:URH - Bib306","9/23/22","3:13 pm","DNF Seq:304 Manual Override -m"
"AS 3:URH to 3:URH - Bib198","9/23/22","3:38 pm","DNF  Seq:310"
"AS 6:TOG to 6:TOG - Bib6","9/23/22","5:19 pm","DNF  Seq:34"
"AS 5:TEF to 5:TEF - Bib322","9/23/22","6:26 pm","DNF  Seq:233"
"AS 4:RHF to 4:RHF - Bib343","9/23/22","7:15 pm","DNF  Seq:268"
"AS 5:TEF to 5:TEF - Bib233","9/23/22","8:21 pm","DNF  Seq:290"
"AS 5:TEF to 5:TEF - Bib152","9/23/22","8:30 pm","DNF  Seq:292"
"AS 5:TEF to 5:TEF - Bib314","9/23/22","8:30 pm","DNF  Seq:293"
