Runner,Date,Time,Notes
"Leg 0:STA to 1:LOP - Bib332","9/23/22","6:00 am","Changed to DNS"
"Leg 0:STA to 1:LOP - Bib31","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib51","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib117","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib159","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib324","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib13","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib63","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib177","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib213","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib274","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib244","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib286","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib64","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib140","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib44","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib248","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib305","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib282","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib153","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib139","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib58","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib142","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib133","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib103","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib105","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib66","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib32","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib293","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib275","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib241","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib307","9/23/22","6:00 am","DNS"
"Leg 0:STA to 1:LOP - Bib345","9/23/22","6:00 am","DNS"
