bear-100-2026,1-logan-peak,drops-export
stationId,bibId,dropReason,dropDateTime,note
0-start-line,17,did-not-start,05:08:00 25 Sep 2026,
0-start-line,42,did-not-start,05:13:00 25 Sep 2026,
0-start-line,76,did-not-start,05:19:00 25 Sep 2026,
0-start-line,103,did-not-start,05:24:00 25 Sep 2026,
0-start-line,128,did-not-start,05:31:00 25 Sep 2026,
0-start-line,151,did-not-start,05:37:00 25 Sep 2026,
0-start-line,179,did-not-start,05:43:00 25 Sep 2026,
0-start-line,204,did-not-start,05:48:00 25 Sep 2026,
0-start-line,226,did-not-start,05:52:00 25 Sep 2026,
0-start-line,247,did-not-start,05:55:00 25 Sep 2026,
0-start-line,286,did-not-start,05:57:00 25 Sep 2026,
0-start-line,319,did-not-start,05:59:00 25 Sep 2026,
1-logan-peak,14,withdrew,07:12:00 25 Sep 2026,
1-logan-peak,198,medical,07:46:00 25 Sep 2026,
1-logan-peak,308,timeout,08:21:00 25 Sep 2026,
