bear-100-2026,6-tony-grove,drops-export
stationId,bibId,dropReason,dropDateTime,note
0-start-line,17,did-not-start,05:08:00 25 Sep 2026,
0-start-line,42,did-not-start,05:13:00 25 Sep 2026,
0-start-line,76,did-not-start,05:19:00 25 Sep 2026,
0-start-line,103,did-not-start,05:24:00 25 Sep 2026,
0-start-line,128,did-not-start,05:31:00 25 Sep 2026,
0-start-line,151,did-not-start,05:37:00 25 Sep 2026,
0-start-line,179,did-not-start,05:43:00 25 Sep 2026,
0-start-line,204,did-not-start,05:48:00 25 Sep 2026,
0-start-line,226,did-not-start,05:52:00 25 Sep 2026,
0-start-line,247,did-not-start,05:55:00 25 Sep 2026,
0-start-line,286,did-not-start,05:57:00 25 Sep 2026,
0-start-line,319,did-not-start,05:59:00 25 Sep 2026,
1-logan-peak,14,withdrew,07:12:00 25 Sep 2026,
1-logan-peak,198,medical,07:46:00 25 Sep 2026,
1-logan-peak,308,timeout,08:21:00 25 Sep 2026,
2-leatham-hollow,61,withdrew,08:58:00 25 Sep 2026,
2-leatham-hollow,143,medical,09:36:00 25 Sep 2026,
2-leatham-hollow,271,timeout,10:14:00 25 Sep 2026,
3-richards-hollow,35,withdrew,10:51:00 25 Sep 2026,
3-richards-hollow,112,medical,11:27:00 25 Sep 2026,
3-richards-hollow,295,timeout,12:04:00 25 Sep 2026,
4-righthand-fork,83,withdrew,12:38:00 25 Sep 2026,
4-righthand-fork,167,medical,13:12:00 25 Sep 2026,
4-righthand-fork,325,timeout,13:49:00 25 Sep 2026,
5-temple-fork,29,withdrew,14:17:00 25 Sep 2026,
5-temple-fork,218,medical,14:43:00 25 Sep 2026,
5-temple-fork,302,timeout,15:06:00 25 Sep 2026,
6-tony-grove,94,withdrew,15:24:00 25 Sep 2026,
6-tony-grove,156,medical,15:36:00 25 Sep 2026,
6-tony-grove,264,timeout,15:43:00 25 Sep 2026,
