Base name,Distance,Kind,Vert gain,Vert loss,Latitude,Longitude,Elevation,Sub split kinds
Start,0.0,start,0,0,41.728237,-111.799572,1478.5847526852879,In
Logan Peak,10.0,intermediate,4730,705,41.710025,-111.698732,2703.880713475817,In
Leatham Hollow,20.0,intermediate,5200,4891,41.642912,-111.706534,1567.891149827483,In Out
Upper Richards,28.5,intermediate,7620,4964,41.725704,-111.637711,2283.2567269357846,In Out
Right Hand Fork,37.5,intermediate,8494,7823,41.774943,-111.610011,1681.276746199144,In Out
Temple Fork,45.5,intermediate,9777,8837,41.834464,-111.591665,1763.8775435559187,In Out
Tony Grove,52.0,intermediate,12542,9453,41.890061,-111.633467,2421.940722497897,In Out
Franklin Basin,62.0,intermediate,13659,11853,41.931068,-111.563905,2030.2727350312725,In Out
Logan River,70.5,intermediate,15609,13339,41.960338,-111.591174,2166.213530681167,In Out
Beaver Mountain,76.5,intermediate,17079,14641,41.969052,-111.54188,2220.772728935273,In Out
Peter Sinks,83.5,intermediate,18704,15259,41.909508,-111.521156,2516.7335194645275,In Out
Burnt Fork,92.0,intermediate,20120,17252,41.90519,-111.479009,2350.6175247802394,In Out
Finish,100.0,finish,20363,19240,41.95386,-111.40231,1817.522341839285,In
